Tasks, Cycles, Workers, Time
100, 10000, 38, 22956720
100, 10000, 39, 22080400
100, 10000, 40, 21532267
100, 10000, 41, 21799891
100, 10000, 42, 21507485
100, 10000, 43, 22000812
100, 10000, 44, 21560578
100, 10000, 45, 20884501
100, 10000, 46, 21869635
100, 10000, 47, 20484833
100, 10000, 48, 20924705
100, 10000, 49, 20538982
100, 10000, 50, 22138519
100, 10000, 51, 20156927
100, 10000, 52, 20263354
100, 10000, 53, 21795439
100, 10000, 54, 20367785
100, 10000, 55, 20473501
100, 10000, 56, 21868042
100, 10000, 57, 24379009
100, 10000, 58, 26313370
100, 10000, 59, 26544883
100, 10000, 60, 29461480
100, 10000, 61, 24859827
100, 10000, 62, 25857329
100, 10000, 63, 25670750
100, 10000, 64, 25583541
100, 10000, 65, 26303087
100, 10000, 66, 25741543
100, 10000, 67, 26972444
100, 10000, 68, 26682996
100, 10000, 69, 27008239
100, 10000, 70, 27069198
100, 10000, 71, 28633657
100, 10000, 72, 28366141
100, 10000, 73, 26496996
100, 10000, 74, 28542613
100, 10000, 75, 24801445
100, 10000, 76, 27155792
100, 10000, 77, 27154242
100, 10000, 78, 27888381
100, 10000, 79, 27690921
100, 10000, 80, 26296901
100, 10000, 81, 26486793
100, 10000, 82, 28330155
100, 10000, 83, 27417530
100, 10000, 84, 27435942
100, 10000, 85, 26749310
100, 10000, 86, 27287860
100, 10000, 87, 25642840
100, 10000, 88, 27577487
100, 10000, 89, 27172130
100, 10000, 90, 26921923
100, 10000, 91, 28730417
100, 10000, 92, 26669473
100, 10000, 93, 29773443
100, 10000, 94, 28681729
100, 10000, 95, 28103295
100, 10000, 96, 28341218
100, 10000, 97, 27178649
100, 10000, 98, 27717048
100, 10000, 99, 28277548
100, 10000, 100, 28626285
100, 10000, 101, 27321418
100, 10000, 102, 27639424
100, 10000, 103, 28195834
100, 10000, 104, 28994588
100, 10000, 105, 28485918
100, 10000, 106, 27890104
100, 10000, 107, 28178798
100, 10000, 108, 28206830
100, 10000, 109, 28956393
100, 10000, 110, 30810852
100, 10000, 111, 28283711
100, 10000, 112, 25887190
100, 100000, 1, 4881218733
100, 100000, 2, 2524534395
100, 100000, 3, 1701060417
100, 100000, 4, 1296759305
100, 100000, 5, 1045271637
100, 100000, 6, 980145258
100, 100000, 7, 748044311
100, 100000, 8, 657184422
100, 100000, 9, 582630952
100, 100000, 10, 525019501
100, 100000, 11, 479692705
100, 100000, 12, 441630168
100, 100000, 13, 408763062
100, 100000, 14, 384274119
100, 100000, 15, 363283857
100, 100000, 16, 358677581
100, 100000, 17, 345683631
100, 100000, 18, 328039917
